Nombre_bottom,Cantidad_Imágenes,Imagen1,Imagen2,Imagen3,Imagen4
CINNAMON SUBLIME,4,"https://res.cloudinary.com/maaji/image/upload/v1528404080/Spring2018/3007SAC04_3007SBC04_3007SCC04_3007SDC04_red_1.jpg


",https://res.cloudinary.com/maaji/image/upload/v1528404081/Spring2018/3007SAC04_3007SBC04_3007SCC04_3007SDC04_red_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1528404082/Spring2018/3007SAC04_3007SBC04_3007SCC04_3007SDC04_red_5.jpg,https://res.cloudinary.com/maaji/image/upload/v1528404083/Spring2018/3007SAC04_3007SBC04_3007SCC04_3007SDC04_red_6.jpg
STARGAZER CASCADE,4,https://res.cloudinary.com/maaji/image/upload/v1528404735/Spring2018/3008SCC01_blue_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1528404736/Spring2018/3008SCC01_blue_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1528404737/Spring2018/3008SCC01_blue_5.jpg,https://res.cloudinary.com/maaji/image/upload/v1528404738/Spring2018/3008SCC01_blue_6.jpg
SPANISH EXPLORER,2,https://res.cloudinary.com/maaji/image/upload/v1527174551/Summer2018/1943SBC04_1943SCC04_blue_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1527174556/Summer2018/1943SBC04_1943SCC04_blue_2.jpg,,
SONNY AND CHER,2,https://res.cloudinary.com/maaji/image/upload/v1528463589/HigSummer2018/2043SAC09_2043SBC09_yellow_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1528463589/HigSummer2018/2043SAC09_2043SBC09_yellow_2.jpg,,
SOLANO BAY,2,https://res.cloudinary.com/maaji/image/upload/v1528399028/Spring2018/2122SOB01_2122SOC01_blue_3.jpg,https://res.cloudinary.com/maaji/image/upload/v1528399029/Spring2018/2122SOB01_2122SOC01_blue_4.jpg,,
SIXTEEN CANDIES,2,https://res.cloudinary.com/maaji/image/upload/v1528464017/HigSummer2018/2119SOH03_2119SOR03_yellow_3.jpg,https://res.cloudinary.com/maaji/image/upload/v1528464018/HigSummer2018/2119SOH03_2119SOR03_yellow_4.jpg,,
SHIMMERING COGNAC SUBLIME,4,"https://res.cloudinary.com/maaji/image/upload/v1527609561/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_brown_1.jpg
",https://res.cloudinary.com/maaji/image/upload/v1527609562/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_brown_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1527609563/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_brown_5.jpg,https://res.cloudinary.com/maaji/image/upload/v1527609564/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_brown_6.jpg
CINNAMON SUNNY,4,https://res.cloudinary.com/maaji/image/upload/v1528406563/Spring2018/3044SBC01_3044SCC01_red_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1528406564/Spring2018/3044SBC01_3044SCC01_red_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1528406565/Spring2018/3044SBC01_3044SCC01_red_5.jpg,https://res.cloudinary.com/maaji/image/upload/v1528406566/Spring2018/3044SBC01_3044SCC01_red_6.jpg
SHIMMERING COGNAC CASCADE,4,https://res.cloudinary.com/maaji/image/upload/v1527625291/Summer2018/3008SCC02_brown_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1527625292/Summer2018/3008SCC02_brown_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1527625293/Summer2018/3008SCC02_brown_5.jpg,https://res.cloudinary.com/maaji/image/upload/v1527625294/Summer2018/3008SCC02_brown_6.jpg
COCONUT VALLEY,2,https://res.cloudinary.com/maaji/image/upload/v1528398553/Spring2018/2120SAC02_2120SBC02_blue_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1528398555/Spring2018/2120SAC02_2120SBC02_blue_2.jpg,,
